release_id,spine_status,drive_file_id,drive_parent_id,working_view_url,working_embed_url,working_direct_url,listed_utc,source_url,mirror_url
DOD_111688723,INDEXED,12x5u4mBWD6a4pg6BantCflisniydKetZ,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/12x5u4mBWD6a4pg6BantCflisniydKetZ/view,https://drive.google.com/file/d/12x5u4mBWD6a4pg6BantCflisniydKetZ/preview,https://drive.usercontent.google.com/download?id=12x5u4mBWD6a4pg6BantCflisniydKetZ&export=download&confirm=t,2026-08-08,,
DOD_111688762,INDEXED,1P3vpVaurCry-Vnn2jCTFP5HCU798Y1-X,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1P3vpVaurCry-Vnn2jCTFP5HCU798Y1-X/view,https://drive.google.com/file/d/1P3vpVaurCry-Vnn2jCTFP5HCU798Y1-X/preview,https://drive.usercontent.google.com/download?id=1P3vpVaurCry-Vnn2jCTFP5HCU798Y1-X&export=download&confirm=t,2026-08-08,,
DOD_111688775,INDEXED,1Tw0nI_iwn5ZTh3bHXJFRlQYXgEbCbOqR,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1Tw0nI_iwn5ZTh3bHXJFRlQYXgEbCbOqR/view,https://drive.google.com/file/d/1Tw0nI_iwn5ZTh3bHXJFRlQYXgEbCbOqR/preview,https://drive.usercontent.google.com/download?id=1Tw0nI_iwn5ZTh3bHXJFRlQYXgEbCbOqR&export=download&confirm=t,2026-08-08,,
DOD_111688809,INDEXED,1J-JVQT_LdUGGnnGSsJkmM84lX7-gJTZT,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1J-JVQT_LdUGGnnGSsJkmM84lX7-gJTZT/view,https://drive.google.com/file/d/1J-JVQT_LdUGGnnGSsJkmM84lX7-gJTZT/preview,https://drive.usercontent.google.com/download?id=1J-JVQT_LdUGGnnGSsJkmM84lX7-gJTZT&export=download&confirm=t,2026-08-08,,
DOD_111688816,NOT_INGESTED,15rnCHWibpOAj3k7mLDnlbYPkAkEuV7sL,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/15rnCHWibpOAj3k7mLDnlbYPkAkEuV7sL/view,https://drive.google.com/file/d/15rnCHWibpOAj3k7mLDnlbYPkAkEuV7sL/preview,https://drive.usercontent.google.com/download?id=15rnCHWibpOAj3k7mLDnlbYPkAkEuV7sL&export=download&confirm=t,2026-08-08,,
DOD_111688825,NOT_INGESTED,1anXC6riya4HVBwh38kMEbi14S0gOawGZ,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1anXC6riya4HVBwh38kMEbi14S0gOawGZ/view,https://drive.google.com/file/d/1anXC6riya4HVBwh38kMEbi14S0gOawGZ/preview,https://drive.usercontent.google.com/download?id=1anXC6riya4HVBwh38kMEbi14S0gOawGZ&export=download&confirm=t,2026-08-08,,
DOD_111688954,INDEXED,1O50NuVZsiuupfcpi7xQeT2_RgSiM-s5d,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1O50NuVZsiuupfcpi7xQeT2_RgSiM-s5d/view,https://drive.google.com/file/d/1O50NuVZsiuupfcpi7xQeT2_RgSiM-s5d/preview,https://drive.usercontent.google.com/download?id=1O50NuVZsiuupfcpi7xQeT2_RgSiM-s5d&export=download&confirm=t,2026-08-08,,
DOD_111688964,INDEXED,1mgAMZjkCWlSutQRLJT3B_YhL55jn0Jbd,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1mgAMZjkCWlSutQRLJT3B_YhL55jn0Jbd/view,https://drive.google.com/file/d/1mgAMZjkCWlSutQRLJT3B_YhL55jn0Jbd/preview,https://drive.usercontent.google.com/download?id=1mgAMZjkCWlSutQRLJT3B_YhL55jn0Jbd&export=download&confirm=t,2026-08-08,,
DOD_111688970,INDEXED,1HUs28odPyZONAaXrkP91FO9Uh4FiEHFH,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1HUs28odPyZONAaXrkP91FO9Uh4FiEHFH/view,https://drive.google.com/file/d/1HUs28odPyZONAaXrkP91FO9Uh4FiEHFH/preview,https://drive.usercontent.google.com/download?id=1HUs28odPyZONAaXrkP91FO9Uh4FiEHFH&export=download&confirm=t,2026-08-08,,
DOD_111688997,INDEXED,1urLBK1jSyW99JqX44NyL0uTDW2BnLTRv,1Z8_NzOrfjXiQTsxkj0GEbUdr1SI5LjWM,https://drive.google.com/file/d/1urLBK1jSyW99JqX44NyL0uTDW2BnLTRv/view,https://drive.google.com/file/d/1urLBK1jSyW99JqX44NyL0uTDW2BnLTRv/preview,https://drive.usercontent.google.com/download?id=1urLBK1jSyW99JqX44NyL0uTDW2BnLTRv&export=download&confirm=t,2026-08-08,,
