release_id,source_file,title_meta,subject_meta,author_meta,producer,pdf_created,pdf_modified,pages,file_bytes,sha256,pages_no_text_layer,mean_ocr_quality,segments,release_stamps,doc_id_stamps,source_url,mirror_url,working_url
38-143685-box7-Incident-Summaries-173-233.pdf,38-143685-box7-Incident-Summaries-173-233.pdf,38_143685_box7_Incident_Summaries_173-233,38_143685_box7_Incident_Summaries_173-233,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:17:47 2026 UTC,Mon May 11 18:53:27 2026 UTC,144,161362330,b24365329f506d92acfae313f0ed3aef2060de17d72bf61b6c91bc035bf7dd95,34,0.853,1,,,,,
59-214434-SP-16-[7.18.1963].pdf,59-214434-SP-16-[7.18.1963].pdf,59_214434_SP 16 [7.18.1963],59_214434_SP 16 [7.18.1963],,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:18:24 2026 UTC,Mon May 11 18:58:22 2026 UTC,6,1169464,cddcc196385c373ef7fd55fee4c196bfad531860a05777786cf6d90a2fd7dabd,0,0.995,1,,,,,
59-64634-711.5612[7-2852.pdf,59-64634-711.5612[7-2852.pdf,59_64634_711.5612[7-2852,59_64634_711.5612[7-2852,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:18:07 2026 UTC,Mon May 11 18:57:10 2026 UTC,2,898369,2539850305227baf0b3bb487cbf41f5834eca2b188dc2d65849fdb06b683bd13,0,0.99,2,,,,,
65-HS1-101634279-100-DE-18221-Serial-844.pdf,65-HS1-101634279-100-DE-18221-Serial-844.pdf,65_HS1-101634279_100-DE-18221_Serial_844,65_HS1-101634279_100-DE-18221_Serial_844,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:18:41 2026 UTC,Mon May 11 18:59:24 2026 UTC,1,265783,36b00fdf99e456dff9a507db7fd90fadb995db235650966f14b77279095fcc6a,0,0.964,1,NW 90288,34715588,,,
65-HS1-101634279-100-DE-26505.pdf,65-HS1-101634279-100-DE-26505.pdf,65_HS1-101634279_100-DE-26505,65_HS1-101634279_100-DE-26505,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:19:01 2026 UTC,Mon May 11 19:01:53 2026 UTC,15,5326217,3fc7a74876b36b328bca96953fd73049b063cc0b50ad412c7a32900c83539d89,4,0.868,1,NW90290;NW 90290,34714592,,,
65-HS1-834228961-62-HQ-83894-SUB-A.pdf,65-HS1-834228961-62-HQ-83894-SUB-A.pdf,65_HS1-834228961_62-HQ-83894_SUB_A,65_HS1-834228961_62-HQ-83894_SUB_A,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:28:18 2026 UTC,Tue May 12 17:32:34 2026 UTC,124,35851631,ed6e3824974865fe91667f834c2aba6e3f3d503a5913928dfefb62425279d2e4,7,0.932,1,,,,,
65-HS1-834228961-62-HQ-83894-Section-1.pdf,65-HS1-834228961-62-HQ-83894-Section-1.pdf,65_HS1-834228961_62-HQ-83894_Section_1,65_HS1-834228961_62-HQ-83894_Section_1,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:19:56 2026 UTC,Mon May 11 19:10:46 2026 UTC,185,30436722,6768eb6e15f7566057b77aad159767ca87e2846493a645e015ad8e06fdb759be,70,0.733,18,,,,,
65-HS1-834228961-62-HQ-83894-Section-10.pdf,65-HS1-834228961-62-HQ-83894-Section-10.pdf,65_HS1-834228961_62-HQ-83894_Section_10,65_HS1-834228961_62-HQ-83894_Section_10,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed May  6 21:52:00 2026 UTC,Tue May 12 16:39:30 2026 UTC,184,58141207,b13552c6b558408ef1e28a46158e6a45a62d74c3aac6074f74abb23bcab76fbe,40,0.842,23,,,,,
65-HS1-834228961-62-HQ-83894-Section-2.pdf,65-HS1-834228961-62-HQ-83894-Section-2.pdf,65_HS1-834228961_62-HQ-83894_Section_2,65_HS1-834228961_62-HQ-83894_Section_2,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed May  6 22:17:00 2026 UTC,Tue May 12 12:04:34 2026 UTC,194,33449155,b79da2d091ae8e1637f58d91602758feef2341aba3c90addd9c1487cdef58109,47,0.817,21,,,,,
65-HS1-834228961-62-HQ-83894-Section-3.pdf,65-HS1-834228961-62-HQ-83894-Section-3.pdf,65_HS1-834228961_62-HQ-83894_Section_3,65_HS1-834228961_62-HQ-83894_Section_3,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:22:27 2026 UTC,Tue May 12 12:22:07 2026 UTC,190,35533010,ba72ac1879acea2f3c87f6bf40983f3b5f39f03038e1b59f907d136b0f02eab4,55,0.782,18,,,,,
65-HS1-834228961-62-HQ-83894-Section-4.pdf,65-HS1-834228961-62-HQ-83894-Section-4.pdf,65_HS1-834228961_62-HQ-83894_Section_4,65_HS1-834228961_62-HQ-83894_Section_4,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:22:44 2026 UTC,Tue May 12 12:34:33 2026 UTC,214,37916413,c3a722892229c6da31db714aabfbe19ad86b82732258114a596cc076ea69d526,43,0.837,20,,,,,
65-HS1-834228961-62-HQ-83894-Section-5.pdf,65-HS1-834228961-62-HQ-83894-Section-5.pdf,65_HS1-834228961_62-HQ-83894_Section_5,65_HS1-834228961_62-HQ-83894_Section_5,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:23:02 2026 UTC,Tue May 12 12:57:10 2026 UTC,209,36260149,ed97686fb1301e3a12e19d91f833f31da5b97065ef85560fc6d8fce7b7c2265d,57,0.759,14,,,,,
65-HS1-834228961-62-HQ-83894-Section-6.pdf,65-HS1-834228961-62-HQ-83894-Section-6.pdf,65_HS1-834228961_62-HQ-83894_Section_6,65_HS1-834228961_62-HQ-83894_Section_6,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:23:18 2026 UTC,Tue May 12 13:54:11 2026 UTC,271,60929949,7620094802463bc97ea365b0e15438dd236739db15f0edc689aebd83a9f6a938,63,0.805,24,,,,,
65-HS1-834228961-62-HQ-83894-Section-7.pdf,65-HS1-834228961-62-HQ-83894-Section-7.pdf,65_HS1-834228961_62-HQ-83894_Section_7,65_HS1-834228961_62-HQ-83894_Section_7,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:23:35 2026 UTC,Tue May 12 13:26:30 2026 UTC,205,39389073,350806816e58095e0a8f89808fc1af246d6c9a005e63e49e28829b040963a5c2,45,0.829,21,,,,,
65-HS1-834228961-62-HQ-83894-Section-8.pdf,65-HS1-834228961-62-HQ-83894-Section-8.pdf,65_HS1-834228961_62-HQ-83894_Section_8,65_HS1-834228961_62-HQ-83894_Section_8,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Wed May  6 22:09:27 2026 UTC,Tue May 12 15:36:29 2026 UTC,217,255526310,ad2fd32949337143a56a9089a193e22f953edb28b1ee07a9ad8c5330bb1b9aa1,51,0.853,17,,,,,
65-HS1-834228961-62-HQ-83894-Section-9.pdf,65-HS1-834228961-62-HQ-83894-Section-9.pdf,65_HS1-834228961_62-HQ-83894_Section_9,65_HS1-834228961_62-HQ-83894_Section_9,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:24:30 2026 UTC,Tue May 12 16:12:47 2026 UTC,290,52058639,c0a322f3544e3ba6c95257b89b2fd3aec3249c7a5d8f419e3f1826facea40a08,52,0.871,38,,,,,
65-HS1-834228961-62-HQ-83894-Serial-130.pdf,65-HS1-834228961-62-HQ-83894-Serial-130.pdf,65_HS1-834228961_62-HQ-83894_Serial_130,65_HS1-834228961_62-HQ-83894_Serial_130,,Adobe Acrobat (32-bit) 26 Paper Capture Plug-in,Thu May  7 18:25:39 2026 UTC,Tue May 12 16:51:27 2026 UTC,126,21525036,77043137eec2494bbeeb945c2cf8674ce343617e3c4d14ab17a69806c58dae6a,15,0.848,3,,,,,
