release_id,pdf_page,entity_type,value_verbatim,value_normalized,norm_rule,candidate_flags
DOW-UAP-D092,7,PERSON,Dr. Jesse Orlanaky Member IDA,Dr. Jesse Orlanaky Member IDA,,TRUNCATED
DOW-UAP-D092,7,PERSON,Dr. Richard Porter Member GE,Dr. Richard Porter Member GE,,TRUNCATED
DOW-UAP-D092,7,PERSON,Dr. Carl Sagan Member Smithsonian,Dr. Carl Sagan Member Smithsonian,,CLEAN
DOW-UAP-D092,7,PERSON,Dr. Willis H. Ware Member,Dr. Willis H. Ware Member,,CLEAN
DOW-UAP-D092,7,PERSON,Col John P. Spaul.ding Briefer,Col John P. Spaul.ding Briefer,,CLEAN
DOW-UAP-D092,7,PERSON,Dr. Anthony Cacioppo Participant Fl'D,Dr. Anthony Cacioppo Participant Fl'D,,CLEAN
DOW-UAP-D092,7,PERSON,Col Warren Wheeler Participant FTD,Col Warren Wheeler Participant FTD,,TRUNCATED
DOW-UAP-D092,7,PERSON,Maj Hector Quintanella. Briefer FTD,Maj Hector Quintanella. Briefer FTD,,TRUNCATED
DOW-UAP-D092,7,PERSON,Mr. Francis Arcier Participant Consultant,Mr. Francis Arcier Participant Consultant,,CLEAN
DOW-UAP-D092,7,PERSON,Col Florian Holm Briefer F'I'D,Col Florian Holm Briefer F'I'D,,CLEAN
DOW-UAP-D092,7,PERSON,Col Harold A. Steiner SAB,Col Harold A. Steiner SAB,,TRUNCATED
DOW-UAP-D092,7,PERSON,Lt Col,Lt Col,,TRUNCATED
DOW-UAP-D092,7,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,7,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,7,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,7,ORG,IDA,IDA,,CLEAN
DOW-UAP-D092,7,DATE,17 January 1953,17 January 1953,,CLEAN
DOW-UAP-D092,8,PERSON,Dr. O'Brien,Dr. O'Brien,,CLEAN
DOW-UAP-D092,8,PERSON,Lt Col Spaulding,Lt Col Spaulding,,CLEAN
DOW-UAP-D092,8,PERSON,Lt Colonel,Lt Col,RANK,TRUNCATED
DOW-UAP-D092,8,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,8,ORG,SAFOI,SAFOI,,CLEAN
DOW-UAP-D092,8,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,8,DATE,22 December 1965,22 December 1965,,CLEAN
DOW-UAP-D092,9,PERSON,Dr. Brian O'Brien Colcael Robert,Dr. Brian O'Brien Colcael Robert,,CLEAN
DOW-UAP-D092,9,PERSON,Dr. Jesse Orlansky Lt Col,Dr. Jesse Orlansky Lt Col,,TRUNCATED
DOW-UAP-D092,9,PERSON,Lt Col Robert Hippler,Lt Col Robert Hippler,,CLEAN
DOW-UAP-D092,9,PERSON,Lt Colonel Hippler,Lt Col Hippler,RANK,CLEAN
DOW-UAP-D092,9,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,9,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,9,DATE,20 April 1966,20 April 1966,,CLEAN
DOW-UAP-D092,9,LOCATOR,Room 5D-,Room 5D-,,CLEAN
DOW-UAP-D092,10,PERSON,Dr. Orlsnsky,Dr. Orlsnsky,,CLEAN
DOW-UAP-D092,10,PERSON,Dr. O'Brien,Dr. O'Brien,,CLEAN
DOW-UAP-D092,10,PERSON,Dr. Stever,Dr. Stever,,CLEAN
DOW-UAP-D092,10,PERSON,Dr. J. Allen Hynek,Dr. J. Allen Hynek,,CLEAN
DOW-UAP-D092,10,PERSON,Dr. Donald Menzel,Dr. Donald Menzel,,CLEAN
DOW-UAP-D092,10,ORG,AFSC,AFSC,,CLEAN
DOW-UAP-D092,10,ORG,OSI,OSI,,CLEAN
DOW-UAP-D092,11,PERSON,Mrs. MarJorie Wilson,Mrs. MarJorie Wilson,,CLEAN
DOW-UAP-D092,11,PERSON,Lt Col,Lt Col,,TRUNCATED
DOW-UAP-D092,12,PERSON,Mr. Baillie,Mr. Baillie,,CLEAN
DOW-UAP-D092,13,PERSON,Mr. David Smith,Mr. David Smith,,CLEAN
DOW-UAP-D092,13,PERSON,Mr. Peer DeSilva,Mr. Peer DeSilva,,CLEAN
DOW-UAP-D092,13,PERSON,Mr. Jesse Orlanaky,Mr. Jesse Orlanaky,,CLEAN
DOW-UAP-D092,13,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,13,DATE,31 July 1967,31 July 1967,,CLEAN
DOW-UAP-D092,15,PERSON,Dr. Stever Concerning SAB Support,Dr. Stever Concerning SAB Support,,CLEAN
DOW-UAP-D092,15,PERSON,Dr. Stever. In,Dr. Stever. In,,TRUNCATED
DOW-UAP-D092,15,PERSON,Dr. Stever,Dr. Stever,,CLEAN
DOW-UAP-D092,15,PERSON,Dr. SteTer,Dr. SteTer,,CLEAN
DOW-UAP-D092,15,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,15,DATE,18 May 1966,18 May 1966,,CLEAN
DOW-UAP-D092,16,PERSON,Dr. Stever,Dr. Stever,,CLEAN
DOW-UAP-D092,16,PERSON,Lt Col Hippler,Lt Col Hippler,,CLEAN
DOW-UAP-D092,16,PERSON,Dr. Brian O'Brien,Dr. Brian O'Brien,,CLEAN
DOW-UAP-D092,18,ORG,AFSC,AFSC,,CLEAN
DOW-UAP-D092,19,PERSON,Lt Colonel Steiner AFBSA,Lt Col Steiner AFBSA,RANK,CLEAN
DOW-UAP-D092,19,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,19,ORG,SAFOI,SAFOI,,CLEAN
DOW-UAP-D092,19,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,19,ORG,AFSC,AFSC,,CLEAN
DOW-UAP-D092,19,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,19,DATE,30 March 1966,30 March 1966,,CLEAN
DOW-UAP-D092,19,DATE,28 September 1965,28 September 1965,,CLEAN
DOW-UAP-D092,19,DATE,28 Sep 65,28 Sep 65,,CLEAN
DOW-UAP-D092,21,PERSON,Col Burger AFBSA,Col Burger AFBSA,,CLEAN
DOW-UAP-D092,21,PERSON,Dr. Stever,Dr. Stever,,CLEAN
DOW-UAP-D092,21,PERSON,Dr. Markey,Dr. Markey,,CLEAN
DOW-UAP-D092,21,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,21,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,21,DATE,5 October 1965,5 October 1965,,CLEAN
DOW-UAP-D092,22,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,22,DATE,30 June 1965,30 June 1965,,CLEAN
DOW-UAP-D092,23,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,23,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,24,PERSON,Lt. Colonel Harold A. Steiner,Lt Col Harold A. Steiner,RANK,CLEAN
DOW-UAP-D092,24,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,24,DATE,"February 13, 1969","February 13, 1969",,CLEAN
DOW-UAP-D092,25,PERSON,Lt. Colonel Harold A. Steiner,Lt Col Harold A. Steiner,RANK,CLEAN
DOW-UAP-D092,25,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,25,DATE,"February 28, 1969","February 28, 1969",,CLEAN
DOW-UAP-D092,26,PERSON,Lt Colonel,Lt Col,RANK,TRUNCATED
